date                   ,end_date               ,label
2020-03-13 14:44:37.467,2020-03-13 14:44:41.147,Salon
2020-03-13 14:44:39.154,2020-03-13 14:44:44.655,Coin cuisine
2020-03-13 14:44:41.147,2020-03-13 14:44:47.130,Couloir principal
2020-03-13 14:44:47.130,2020-03-13 14:44:47.249,Salon
2020-03-13 14:44:47.249,2020-03-13 14:45:01.766,Coin cuisine
2020-03-13 14:44:57.963,2020-03-13 14:45:04.930,Salon
2020-03-13 15:36:41.943,2020-03-13 15:36:45.321,Coin cuisine
2020-03-13 15:46:32.120,2020-03-13 15:46:34.034,Salon
2020-03-13 16:33:33.325,2020-03-13 16:33:36.364,Couloir principal
2020-03-13 16:33:36.364,2020-03-13 16:35:06.361,Toilette
2020-03-13 16:33:44.659,2020-03-13 16:35:11.908,Salle de bain
2020-03-13 16:35:11.908,2020-03-13 16:35:12.059,Toilette
2020-03-13 16:35:12.059,2020-03-13 16:35:35.879,Couloir principal
2020-03-13 16:35:37.192,2020-03-13 16:41:58.323,Coin cuisine
2020-03-13 16:41:58.323,2020-03-13 16:42:07.478,Couloir principal
2020-03-13 16:42:07.478,2020-03-13 16:42:14.448,Coin cuisine
2020-03-13 16:42:14.448,2020-03-13 16:44:06.948,Toilette
2020-03-13 16:44:48.685,2020-03-13 16:44:52.591,Salon
2020-03-13 16:44:52.591,2020-03-13 16:44:56.988,Toilette
2020-03-13 16:44:55.296,2020-03-13 16:45:00.067,Salle de bain
2020-03-13 16:44:56.988,2020-03-13 16:45:01.765,Salon
2020-03-13 16:45:00.067,2020-03-13 16:45:06.540,Couloir principal
2020-03-13 16:45:06.540,2020-03-13 16:45:10.834,Salon
2020-03-13 16:45:07.506,2020-03-13 16:45:11.956,Coin cuisine
2020-03-13 16:45:11.956,2020-03-13 16:45:48.767,Salon
2020-03-13 16:47:56.749,2020-03-13 16:49:02.248,Coin cuisine
2020-03-13 16:49:02.248,2020-03-13 16:49:10.569,Placard cuisine
2020-03-13 16:49:08.978,2020-03-13 16:49:18.414,Coin cuisine
2020-03-13 16:49:10.569,2020-03-13 16:49:43.094,Placard cuisine
2020-03-13 16:49:18.414,2020-03-13 16:49:44.809,Coin cuisine
2020-03-13 16:49:43.094,2020-03-13 16:53:51.128,Réfrigérateur
2020-03-13 16:53:51.128,2020-03-13 16:54:43.885,Coin cuisine
2020-03-13 16:54:43.885,2020-03-13 16:54:56.670,Salon
2020-03-13 16:54:52.252,2020-03-13 16:54:58.213,Coin cuisine
2020-03-13 16:54:58.213,2020-03-13 16:56:33.791,Salon
2020-03-13 16:56:33.791,2020-03-13 16:56:48.434,Coin cuisine
2020-03-13 16:56:48.434,2020-03-13 17:07:39.543,Salon
2020-03-13 17:07:39.543,2020-03-13 17:07:49.008,Coin cuisine
2020-03-13 17:07:49.008,2020-03-13 17:30:57.051,Salon
2020-03-13 17:46:25.947,2020-03-13 17:46:46.504,Coin cuisine
2020-03-13 17:46:46.504,2020-03-13 17:46:52.399,Couloir principal
2020-03-13 17:46:49.602,2020-03-13 17:46:58.044,Coin cuisine
2020-03-13 17:46:58.044,2020-03-13 17:46:59.404,Couloir principal
2020-03-13 17:47:11.979,2020-03-13 17:48:10.658,Couloir principal
2020-03-13 18:53:16.720,2020-03-13 18:53:19.062,Salon
2020-03-13 18:53:18.098,2020-03-13 18:53:20.176,Couloir principal
2020-03-13 18:53:19.062,2020-03-13 18:53:25.377,Toilette
2020-03-13 18:53:25.377,2020-03-13 18:53:25.679,Coin cuisine
2020-03-13 18:53:25.679,2020-03-13 18:53:30.236,Couloir principal
2020-03-13 18:53:29.023,2020-03-13 18:53:39.282,Toilette
2020-03-13 18:53:30.236,2020-03-13 18:54:12.329,Coin cuisine
2020-03-13 18:53:39.282,2020-03-13 18:54:23.922,Salon
2020-03-13 18:54:23.922,2020-03-13 18:54:26.793,Coin cuisine
2020-03-13 18:54:26.793,2020-03-13 18:54:48.333,Toilette
2020-03-13 18:54:48.333,2020-03-13 18:55:04.683,Coin cuisine
2020-03-13 18:55:04.683,2020-03-13 18:55:09.632,Couloir principal
2020-03-13 18:55:09.632,2020-03-13 18:55:50.566,Salle de bain
2020-03-13 18:56:51.998,2020-03-13 18:59:21.286,Toilette
2020-03-13 18:59:21.286,2020-03-13 19:00:01.743,Salle de bain
2020-03-13 18:59:59.588,2020-03-13 19:00:06.457,Couloir principal
2020-03-13 19:10:57.113,2020-03-13 19:11:30.581,Salon
2020-03-13 19:11:50.325,2020-03-13 19:17:50.906,Coin cuisine
2020-03-13 19:17:50.906,2020-03-13 19:18:58.771,Réfrigérateur
2020-03-13 19:18:58.771,2020-03-13 19:19:15.997,Coin cuisine
2020-03-13 19:19:15.997,2020-03-13 19:19:24.884,Placard cuisine
2020-03-13 20:13:28.687,2020-03-13 20:14:50.148,Coin cuisine
2020-03-13 20:14:50.148,2020-03-13 20:14:56.610,Placard cuisine
2020-03-13 20:14:56.610,2020-03-13 20:17:31.444,Coin cuisine
2020-03-13 20:17:57.108,2020-03-13 20:18:04.022,Réfrigérateur
2020-03-13 20:18:19.156,2020-03-13 20:24:13.223,Coin cuisine
2020-03-13 20:24:13.223,2020-03-13 20:24:37.130,Placard cuisine
2020-03-13 20:24:37.130,2020-03-13 20:24:49.552,Coin cuisine
2020-03-13 20:24:49.552,2020-03-13 20:25:41.682,Placard cuisine
2020-03-13 20:25:41.682,2020-03-13 20:28:55.262,Coin cuisine
2020-03-13 20:28:55.262,2020-03-13 20:29:30.930,Couloir principal
2020-03-13 20:29:30.930,2020-03-13 20:31:52.305,Chambre à coucher
2020-03-13 20:29:38.867,2020-03-13 20:31:58.907,Couloir principal
2020-03-13 20:32:12.364,2020-03-13 20:38:42.025,Coin cuisine
2020-03-13 20:38:42.025,2020-03-13 20:38:49.676,Couloir principal
2020-03-13 20:38:49.676,2020-03-13 20:39:06.685,Couloir principal
2020-03-13 20:40:29.328,2020-03-13 20:41:59.944,Coin cuisine
2020-03-13 20:41:59.944,2020-03-13 20:42:12.047,Placard cuisine
2020-03-13 20:42:12.047,2020-03-13 20:42:12.167,Coin cuisine
2020-03-13 21:22:18.234,2020-03-13 21:22:26.678,Coin cuisine
2020-03-13 21:22:19.605,2020-03-13 21:22:28.535,Placard cuisine
2020-03-13 21:22:28.535,2020-03-13 21:22:30.388,Coin cuisine
2020-03-13 21:48:50.885,2020-03-13 21:50:13.498,Coin cuisine
2020-03-13 21:50:13.498,2020-03-14 00:10:18.990,Salon
2020-03-14 00:10:18.990,2020-03-14 00:10:31.159,Coin cuisine
2020-03-14 00:10:26.371,2020-03-14 00:10:47.905,Couloir principal
2020-03-14 00:10:47.905,2020-03-14 00:13:54.041,Toilette
