date                   ,end_date               ,label
2020-06-13 20:04:03.272,2020-06-13 20:04:22.468,Salle manger ancienne Cuisine
2020-06-13 20:04:21.413,2020-06-13 20:04:49.489,Réfrigérateur
2020-06-13 20:04:49.489,2020-06-13 20:04:59.915,Salle manger ancienne Cuisine
2020-06-13 20:04:56.572,2020-06-13 20:05:02.641,Placard buffet
2020-06-13 20:04:59.915,2020-06-13 20:05:09.889,Salle manger ancienne Cuisine
2020-06-13 20:05:02.641,2020-06-13 20:05:13.045,Placard buffet
2020-06-13 20:05:13.045,2020-06-13 20:05:25.684,Salle manger ancienne Cuisine
2020-06-13 20:05:25.684,2020-06-13 20:05:35.698,Placard buffet
2020-06-13 20:05:35.698,2020-06-13 20:06:27.330,Salle manger ancienne Cuisine
2020-06-13 20:06:59.293,2020-06-13 20:07:13.639,Salon
2020-06-13 20:07:24.689,2020-06-13 20:08:20.078,Salle manger ancienne Cuisine
2020-06-13 20:08:57.850,2020-06-13 20:09:20.188,Salle manger ancienne Cuisine
